country,value,uncertainty,latitude,longitude
Kenya,57.2,0,9.2867,6.4172
Ghana,54.6,0,5.6037,-19.187
Ethiopia,52.8,0,11,-0.74
Nigeria,45.8,0,7.0575,-10.0951
Egypt,33.5,0,25.0444,1.2357
Rwanda,58.4,0.1428571429,-3.3441,6.8619
Guatemala,56.8,0.1428571429,34.6349,-83.5069
Tajikistan,55.4,0.1428571429,33.4334,47.8597
Indonesia,54.6,0.1428571429,-3.0152,64.3661
Armenia,54.33,0.1428571429,38.2,28.4991
India,49.5,0.1428571429,15.6139,43.209
Philippines,49.5,0.1428571429,6.8797,75.774
Colombia,48.02,0.1428571429,2.711,-64.0721
Türkiye,47.4,0.1428571429,33.9334,22.8597
Zimbabwe,46.6,0.1428571429,-12.5292,4.0522
Kyrgyzstan,45.7,0.1428571429,38.222,52.8512
Iraq,45.5,0.1428571429,28.3152,28.3661
Haiti,45.1,0.1428571429,28.5944,-68.3071
Myanmar,44.7,0.1428571429,16.3152,50.3661
Jordan,39.2,0.1428571429,21.4454,22.9284
Burkina_Faso,36.43,0.1428571429,12.6392,-21.525
Yemen,36.4,0.1428571429,9.3694,29.191
Pakistan,32.1,0.1428571429,24.3152,40.3661
Mali,28.7,0.1428571429,21.6392,-22.0029
Albania,17.75,0.1428571429,32.3275,7.8189
South_Africa,55.9,0.2142857143,-17.746,-4.1881
Uganda,54.2,0.2142857143,3.1136,5.581
Tanzania,53.9,0.2142857143,4.3875,10.3228
Maldives,53.3,0.2142857143,0.1755,35.5093
Netherlands,85.8,0.2857142857,53.2676,-14.5041
Sweden,85.5,0.2857142857,62.0293,-2.0686
New_Zealand,84.5,0.2857142857,-15.0152,85.3661
Norway,79.3,0.2857142857,62.9139,-9.7522
Spain,74.9,0.2857142857,40.5169,-17.1395
Slovenia,74.4,0.2857142857,46.8511,3.6955
Singapore,74.1,0.2857142857,0.0152,57.3661
Poland,69.8,0.2857142857,56.0298,3.5118
Uruguay,66.8,0.2857142857,-15.9011,-50.1645
United_States,65.3,0.2857142857,48.9072,-77.036
Montenegro,63.7,0.2857142857,45.11,9.2636
Serbia,63.6,0.2857142857,44.8176,15.2633
Finland,62.4,0.2857142857,63.9139,4.7522
Thailand,62.4,0.2857142857,10.3152,53.3661
Hong_Kong,59.2,0.2857142857,20.0152,67.3661
Romania,57.5,0.2857142857,42.1268,20.7025
Qatar,57.4,0.2857142857,17.276987,34.520008
Hungary,57.3,0.2857142857,49.4979,20.0402
Japan,57.3,0.2857142857,29.0152,78.3661
Slovak_Republic,56.9,0.2857142857,50.869,12.599
Venezuela,56.5,0.2857142857,10.4806,-66.9036
North_Macedonia,56.4,0.2857142857,38.6086,11.7453
Greece,56.1,0.2857142857,31.5838,11.7275
Nicaragua,55.9,0.2857142857,22.1364,-80.2514
Trinidad_and_Tobago,55.5,0.2857142857,14.6515,-56.2225
Croatia,54.65,0.2857142857,39.4131,5.078
China,54.37,0.2857142857,29.6152,58.3661
Australia,54.33,0.2857142857,-13.0152,74.3661
Canada,53.97,0.2857142857,57.4215,-72.6972
Malaysia,53.9,0.2857142857,6.0152,65.3661
Tunisia,53.8,0.2857142857,26.8065,-11.1815
Ukraine,53.8,0.2857142857,50.2501,29.0087
Korea,53.4,0.2857142857,31.0152,70.3661
Lithuania,53.4,0.2857142857,53.0892,8.3798
Peru,53.2,0.2857142857,-6.0464,-68.0428
Germany,52.2,0.2857142857,53.52,-1.405
Latvia,52.2,0.2857142857,58.646,9.0059
Bulgaria,51.24,0.2857142857,36.6977,17.3219
Kazakhstan,50.8,0.2857142857,41.222,43.8512
Chinese_Taipei,50.79,0.2857142857,22,74.3661
Azerbaijan,50.71,0.2857142857,42.4093,32.0671
Estonia,50.7,0.2857142857,64.437,9.7535
Czechia,50.02,0.2857142857,48.0755,-1.4378
Kuwait,49.5,0.2857142857,21.3759,28.5774
Georgia,49.2,0.2857142857,43.7151,26.271
Morocco,49.1,0.2857142857,27.0209,-26.8416
Iran,47.7,0.2857142857,29.3152,33.3661
Cyprus,47.44,0.2857142857,30.1856,17.3823
Mexico,45.8,0.2857142857,40.4326,-87.1332
Bosnia_and_Herzegovina,45.64,0.2857142857,34.3486,5.2564
Chile,45.29,0.2857142857,-15.4489,-63.6693
Mongolia,45.2,0.2857142857,34.8746,63.6121
Brazil,44.15,0.2857142857,-7.7801,-46.9292
Uzbekistan,43.4,0.2857142857,38.9334,38.8597
Vietnam,43.3,0.2857142857,14.0152,60.3661
Algeria,43.25,0.2857142857,25.8,-18.0588
Lebanon,41.9,0.2857142857,28.5886,23.4955
Libya,41.7,0.2857142857,24.8872,-4.1913
Bolivia,40.14,0.2857142857,-7.0333,-60.2627
Ecuador,39.9,0.2857142857,-0.1807,-70.4678
Zambia,39.3,0.2857142857,-6.3875,-1.3228
Palestinian_Authority,38.1,0.2857142857,25.5886,20.4955
Dominican_Republic,35.2,0.2857142857,28.4861,-63.9312
Bangladesh,34.42,0.2857142857,18.8103,60.4125
Côte_d’Ivoire,31.59,0.2857142857,3.8197,-23.4765
Argentina,6.86,0.2857142857,-20.6037,-57.3816
Switzerland,73.9,0.3571428571,43.9481,-5.7474
Portugal,68.3,0.3571428571,36.7169,-23.1395
Austria,65.21,0.3571428571,39.7082,0.3738
United_Kingdom,62.7,0.3571428571,50.3498,-23.2603
